prefecture_nom_bdd,College,Ecole primaire,Jardin (maternelle),Lycée
Agou,21,125,66,6
Agoè-Nyivé,308,577,374,99
Akébou,24,103,69,5
Amou,38,161,66,5
Anié,35,182,44,9
Assoli,19,69,35,7
Avé,52,168,77,15
Bas-Mono,40,149,55,8
Bassar,34,191,107,7
Binah,20,102,75,11
Blitta,49,224,133,12
Cinkassé,18,88,53,6
Dankpen,30,188,104,7
Danyi,17,83,53,5
Doufelgou,19,108,64,10
Est-Mono,45,167,66,9
Golfe,489,1039,732,143
Haho,62,361,140,13
Kloto,41,155,102,13
Kozah,78,258,167,41
Kpendjal,7,54,22,4
Kpendjal-Ouest,11,81,48,5
Kpélé,21,117,54,6
Kéran,16,118,60,7
Lacs,68,222,127,30
Moyen-Mono,20,107,50,5
Mô,9,59,32,4
Ogou,50,240,70,13
Oti,30,124,63,6
Oti-Sud,17,137,36,2
Sotouboua,34,177,116,17
Tandjoaré,43,155,137,8
Tchamba,49,214,50,11
Tchaoudjo,78,275,126,31
Tône,78,353,198,25
Vo,68,281,105,22
Wawa,39,182,66,8
Yoto,54,238,64,16
Zio,173,533,271,57
